id,old_region,new_region,tier,live_region_id,state,suburb,lat,lng,address,region_computed_id,region_override_id
b3b8776e-5a43-4fa9-a548-45ca08174934,"1 Lyell St","Canberra District",1,755af99b-f2ba-478a-9915-b431b369ad7f,"ACT",,-35.328704,149.173181,"1 Lyell Street",755af99b-f2ba-478a-9915-b431b369ad7f,
e49881a0-60cf-4e4c-8698-54fb040b5f92,"18 King George Terrace, Parkes, ACT 2600","Canberra District",1,755af99b-f2ba-478a-9915-b431b369ad7f,"ACT",,-35.302157,149.129991,"18 King George Terrace",755af99b-f2ba-478a-9915-b431b369ad7f,
7a9c96bc-d956-4d4f-8a0b-0bab69d25ac4,"18 National Circuit","Canberra District",1,755af99b-f2ba-478a-9915-b431b369ad7f,"ACT",,-35.311917,149.133342,"18 National Circuit",755af99b-f2ba-478a-9915-b431b369ad7f,
96bffba1-7231-4e40-af08-ee74dc346953,"2/3 Wiluna St","Canberra District",1,755af99b-f2ba-478a-9915-b431b369ad7f,"ACT",,-35.328006,149.164646,"2/3 Wiluna Street",755af99b-f2ba-478a-9915-b431b369ad7f,
698f0516-5d34-44e4-9364-ac855dae802f,"325 Kambah Pool Rd","Canberra District",1,755af99b-f2ba-478a-9915-b431b369ad7f,"ACT",,-35.383409,149.040598,"325 Kambah Pool Road",755af99b-f2ba-478a-9915-b431b369ad7f,
11b1a7fe-e9e5-4e2c-8187-3a07ea71c9aa,"47 Jardine St","Canberra District",1,755af99b-f2ba-478a-9915-b431b369ad7f,"ACT",,-35.315774,149.14236,"47 Jardine Street",755af99b-f2ba-478a-9915-b431b369ad7f,
ca5bf769-ae36-4a20-b71f-850249abac12,"68 Bandjalong Cres","Canberra District",1,755af99b-f2ba-478a-9915-b431b369ad7f,"ACT",,-35.256415,149.078613,"68 Bandjalong Crescent",755af99b-f2ba-478a-9915-b431b369ad7f,
b2d79f27-fe13-4cc0-ae5b-505098547a48,"69 Canberra Ave","Canberra District",1,755af99b-f2ba-478a-9915-b431b369ad7f,"ACT",,-35.319154,149.137278,"69 Canberra Avenue",755af99b-f2ba-478a-9915-b431b369ad7f,
fd9b2d66-5fab-447f-969d-0dc56a6ef200,"Tharwa, ACT","Canberra District",1,755af99b-f2ba-478a-9915-b431b369ad7f,"ACT",,-35.513412,149.069789,"17 Naas Rd Tharwa, Tharwa ACT 2620",755af99b-f2ba-478a-9915-b431b369ad7f,
0014b4b8-e7ef-4af0-875b-ec363b29bf6f,"Lime Kiln Rd, Australian Capital Territory","",2,,"ACT",,-35.284464,139.501612,"Lime Kiln Road, ACT",,
